,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
353790,GC-WD-DEO-2006-2007-Q2-0011,Business Link Business Service Centre|Liaison Entreprise - Centre de services aux entreprises,"Edmonton, AB",,Aboriginal Business Service Network,,5939,168300,3/7/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353791,GC-WD-DEO-2006-2007-Q2-0012,Northwest Community Futures Development Corporation|Société d'aide au développement des collectivités du Nord-Ouest,"North Battleford, SK",,Support operational funding for community economic development and business services,,6221,1166111,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353792,GC-WD-DEO-2006-2007-Q2-0019,Vancouver City Savings Credit Union,"Vancouver, BC|Vancouver, C.-B.",,"To leverage micro-loans for small businesses in Vancouver, Victoria, and the Fraser Valley",,6535,760659.4,8/16/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353793,GC-WD-DEO-2006-2007-Q2-0013,Aboriginal Tourism Association of Saskatchewan Inc.|Aboriginal Tourism Association of Saskatchewan inc.,"Regina, SK",,Hire consultant to increase and promote Aboriginal tourism in Saskatchewan,,5825,27978,12/19/05,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353794,GC-WD-DEO-2006-2007-Q2-0014,Ma-Mow-We-Tak Friendship Centre Inc.,"Thompson, MB",,Development Plan / Pre-construction  re:  Urban Aboriginal Affordable Housing Project,,6484,129600,7/6/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353795,GC-WD-DEO-2006-2007-Q2-0015,Visions North Community Futures Development Corporation|Société d'aide au développement des collectivités Visions North,"La Ronge, SK",,Deliver business development training and services to Aboriginal people in Saskatchewan,,6554,156511,8/8/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353796,GC-WD-DEO-2006-2007-Q2-0016,Community Futures Manitoba Inc.,"Winnipeg, MB",,To support  Aboriginal Business Service Network activities,,6374,112700,5/16/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353797,GC-WD-DEO-2006-2007-Q2-0017,Ogijiita Pimatiswin Kinimatawin Inc.|Ogijiita Pimatiswin Kinimatawin inc.,"Winnipeg, MB",,Develop Aboriginal youth training and education program for housing renovations,,6381,69942,7/18/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353798,GC-WD-DEO-2006-2007-Q2-0018,Coast Capital Savings Credit Union,"Victoria, BC|Victoria, C.-B.",,"To leverage micro-loans for small businesses in Vancouver, Victoria and the Fraser Valley",,6533,300000,7/26/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353799,GC-WD-DEO-2009-2010-Q4-00203,Town of Osler|Municipalité d'Osler,"Osler, SK",,Upgrade outdoor rink,,10319,27333,1/18/10,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353800,GC-WD-DEO-2006-2007-Q2-0020,Servus Credit Union Ltd.|Capital City Savings and Credit Union Limited,"Edmonton, AB",,To leverage private sector micro-loans for small businesses in the Edmonton area,,6536,66500,7/25/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353801,GC-WD-DEO-2006-2007-Q2-0021,Conseil Économique et Coopératif de la Saskatchewan|Conseil économique et coopératif de la Saskatchewan,"Regina, SK",,Deliver summer camp for young French-speaking entrepreneurs,,6489,40734,6/23/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353802,GC-WD-DEO-2006-2007-Q2-0022,Alberta Science and Technology Leadership Foundation,"Calgary, AB",,To support the production and distribution of the 2006 Alberta Innovation Documentary.,,6493,40000,8/3/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353803,GC-WD-DEO-2006-2007-Q2-0023,Calgary Business Information Centre|Centre d'information des entreprises de Calgary,"Calgary, AB",,To provide business and trade knowledge and coaching for Calgary-area entrepreneurs.,,6363,81000,7/21/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353804,GC-WD-DEO-2006-2007-Q2-0024,Native Women's Transition Centre Inc.|Centre de transition pour les femmes autochtones,"WINNIPEG, MB",,"To support Completing the Circle, a mentorship program for Aboriginal women",,6380,43580,9/25/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353805,GC-WD-DEO-2006-2007-Q2-0025,Greater Vancouver Regional District|Cité de Vancouver,"Burnaby, BC|Burnaby, C.-B.",,Organize dialogues to increase business participation in sustainability,,6372,49000,6/30/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353806,GC-WD-DEO-2006-2007-Q2-0026,Calgary Economic Development Ltd.,"Calgary, AB",,To conduct an economic opportunity study of the Greater Calgary region.,,6156,75000,8/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353807,GC-WD-DEO-2006-2007-Q2-0027,Ndinawemaaganag Endaawaad Inc.,"Winnipeg, MB",,To support Ndinawe Youth Resource Centre for at-risk Aboriginal youth,,6366,135182,7/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353808,GC-WD-DEO-2006-2007-Q2-0028,Urban Circle Training Centre Inc.,"Winnipeg, MB",,To develop an Aboriginal Para Educator/Education Assistant training program,,6419,26680,6/29/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353809,GC-WD-DEO-2006-2007-Q2-0029,Calgary Technologies Inc.,"Calgary, AB",,"To support Wireless City, a project promoting wireless telecommunication technologies.",,5819,503863,4/9/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353810,GC-WD-DEO-2006-2007-Q2-0030,Mounted Police Heritage Centre|Centre du patrimoine de la Gendarmerie royale du Canada,"Regina, SK",,Establish the Royal Canadian Mounted Police Heritage Centre in Regina,,6620,2500000,6/22/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353811,GC-WD-DEO-2006-2007-Q2-0043,MA MAWI-WI-CHI-ITATA CENTRE INC.,"WINNIPEG, MB",,To hold a Community Learning Conference,,6417,46115,6/29/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353812,GC-WD-DEO-2006-2007-Q2-0035,Pacific Northwest Economic Region Foundation|Fondation de la région économique du Nord-Ouest du Pacifique,"Seattle, WA|Seattle,",,Support Pacific Northwest Economic Region 2006 annual summit,,5806,25000,6/29/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353813,GC-WD-DEO-2006-2007-Q2-0036,North End Revitalization Inc.,"Winnipeg, MB",,Establish inner city Community Financial Services Centre,,5844,150000,11/28/05,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353814,GC-WD-DEO-2006-2007-Q2-0037,The University of British Columbia|Université de la Colombie-Britannique,"Vancouver, BC|Vancouver, C.-B.",,"Establish sustainability workshops, exhibits & publications for World Urban Forum",,5953,50000,6/6/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353815,GC-WD-DEO-2006-2007-Q2-0038,S.U.C.C.E.S.S. (Also Known As United Chinese Community Enrichment Services Socie|United Chinese Community Enrichment Services Society (S.U.C.C.E.S.S.),"Vancouver, BC|Vancouver, C.-B.",,Expand Gateway to Asia project to Western Canada,,5979,909210,8/4/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353816,GC-WD-DEO-2006-2007-Q2-0039,Vancouver Aboriginal Community Society,"Vancouver, BC|Vancouver, C.-B.",,Develop reduced risk and prevention program for Aboriginal street workers,,5918,66877,8/2/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353817,GC-WD-DEO-2006-2007-Q2-0040,Oyate Tipi Cumini Yape Inc.|Oyate Tipi Cumini Yape inc.,"Winnipeg, MB",,To provide household goods and furniture to women and children,,5164,123630,8/17/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353818,GC-WD-DEO-2006-2007-Q2-0041,Ma Mawi-Wi-Chi-Itata Centre Inc.|Ma Mawi-Wi-Chi-Itata Centre inc.,"Winnipeg, MB",,To develop skills in youth through cultural teachings,,6521,43374,8/28/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353819,GC-WD-DEO-2006-2007-Q2-0042,Mounted Police Heritage Centre|Centre du patrimoine de la Gendarmerie royale du Canada,"Regina, SK",,Establish the Royal Canadian Mounted Police Heritage Centre in Regina,,4214,18000000,6/22/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353820,GC-WD-DEO-2006-2007-Q2-0044,The Assiniboine Credit Union Limited|Coopérative de crédit d'Assiniboine,"Winnipeg, MB",,To leverage private sector micro-loans for small businesses in Winnipeg,,6271,543717.69,7/26/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353821,GC-WD-DEO-2006-2007-Q2-0045,Affinity Credit Union|Coopérative de crédit de Saskatoon (2002),"Saskatoon, SK",,To leverage micro-loans for small and start-up enterprises in the Saskatoon area,,6531,139878.32,7/19/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353822,GC-WD-DEO-2007-2008-Q1-004,Radio communautaire du Manitoba inc.,"Saint-Boniface, MB",,Hire a bilingual intern to enhance business management capacities with network members,,6776,25000,4/26/07,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353823,GC-WD-DEO-2006-2007-Q2-0046,Manitoba Urban Native Housing Association Inc.,"Winnipeg, MB",,Operational Funding,,6375,100000,7/27/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353824,GC-WD-DEO-2006-2007-Q3-001,Women Building Futures Society,"Edmonton, AB",,Support capital improvement costs to convert existing warehouse into a training centre,,4680,331292,12/15/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353825,GC-WD-DEO-2006-2007-Q3-002,Saskatchewan Forest Centre,"Prince Albert, SK",,Invest in targeted value-added projects for Saskatchewan forestry sector,,6273,491781,9/28/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353826,GC-WD-DEO-2006-2007-Q3-003,Northlands College|Collège Northlands,"Air Ronge, SK",,Deliver eight skills training programs in northern Saskatchewan,,4833,683167,9/28/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353827,GC-WD-DEO-2006-2007-Q3-004,Coast Capital Savings Credit Union,"Victoria, BC|Victoria, C.-B.",,Deliver the Entrepreneurs with Disabilities Program,,6577,338150,6/21/12,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353828,GC-WD-DEO-2006-2007-Q3-006,Ag-West Bio Inc.,"Saskatoon, SK",,Develop plan to accelerate growth of Saskatchewan's life sciences sector,,6373,38000,9/26/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353829,GC-WD-DEO-2006-2007-Q3-007,The Calgary John Howard Society,"Calgary, AB",,To help homeless youth become self-sufficient through the Urban Aboriginal Strategy,,6426,56911,8/31/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353830,GC-WD-DEO-2008-2009-Q4-0013,Shuswap Hut and Trail Alliance Society,"Salmon Arm, BC|Salmon Arm, C.-B.",,Expansion of the Shuswap ecotourism trail network,,7432,265400,1/29/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353831,GC-WD-DEO-2009-2010-Q2-0050,Town of Warman|Municipalité de Warman,"Warman, SK",,Develop a linear park with fitness trails,,8406,264280,7/28/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353832,GC-WD-DEO-2006-2007-Q3-008,Ma-Mow-We-Tak Friendship Centre Inc.,"Thompson, MB",,Construct  two 4-plex affordable housing units in Thompson for urban Aboriginal students,,6518,817760,10/18/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
